year,month,project,downloads
2019,8,django,3535659
2019,8,flask,10264673
2019,8,keras,2143283
2019,8,lightgbm,909114
2019,8,matplotlib,7038849
2019,8,numpy,26020863
2019,8,pandas,16220489
2019,8,plotly,1742750
2019,8,pymc3,41608
2019,8,pyspark,1817457
2019,8,pytorch,28708
2019,8,scikit-learn,7278648
2019,8,scipy,10354646
2019,8,scrapy,848037
2019,8,seaborn,1762506
2019,8,selenium,2378638
2019,8,streamlit,3922
2019,8,tensorflow,4018782
2019,8,torch,815652
2019,8,xgboost,1712493
2019,9,altair,48645
2019,9,beautifulsoup,202863
2019,9,bokeh,605933
2019,9,dash,122075
2019,9,django,3826485
2019,9,flask,10021296
2019,9,keras,2136461
2019,9,lightgbm,989897
2019,9,matplotlib,6757977
2019,9,numpy,28716230
2019,9,pandas,17136259
2019,9,plotly,1832494
2019,9,pymc3,38531
2019,9,pyspark,2088741
2019,9,pytorch,29817
2019,9,scikit-learn,7816388
2019,9,scipy,10223682
2019,9,scrapy,593410
2019,9,seaborn,1468544
2019,9,selenium,2523212
2019,9,streamlit,3672
2019,9,tensorflow,3736299
2019,9,torch,663326
2019,9,xgboost,1845130
2019,10,altair,72627
2019,10,beautifulsoup,217561
2019,10,bokeh,745622
2019,10,dash,176203
2019,10,django,3999603
2019,10,flask,10996377
2019,10,keras,2273920
2019,10,lightgbm,1235503
2019,10,matplotlib,7586836
2019,10,numpy,33069320
2019,10,pandas,18560890
2019,10,plotly,2057488
2019,10,pymc3,42100
2019,10,pyspark,2466990
2019,10,pytorch,34855
2019,10,scikit-learn,8724922
2019,10,scipy,11330231
2019,10,scrapy,662630
2019,10,seaborn,1598534
2019,10,selenium,2581565
2019,10,streamlit,25330
2019,10,tensorflow,4409836
2019,10,torch,830663
2019,10,xgboost,2239164
2019,11,altair,70243
2019,11,beautifulsoup,211126
2019,11,bokeh,662308
2019,11,dash,164908
2019,11,django,4026996
2019,11,flask,10452115
2019,11,keras,2254694
2019,11,lightgbm,1296401
2019,11,matplotlib,7671029
2019,11,numpy,38659877
2019,11,pandas,17252501
2019,11,plotly,1987780
2019,11,pymc3,58999
2019,11,pyspark,2390346
2019,11,pytorch,36695
2019,11,scikit-learn,8812375
2019,11,scipy,12821878
2019,11,scrapy,411055
2019,11,seaborn,1390461
2019,11,selenium,2814162
2019,11,streamlit,19906
2019,11,tensorflow,4530435
2019,11,torch,845711
2019,11,xgboost,2315625
2019,12,altair,101076
2019,12,beautifulsoup,297053
2019,12,bokeh,643152
2019,12,dash,157618
2019,12,django,4071449
2019,12,flask,10289820
2019,12,keras,2262036
2019,12,lightgbm,1362878
2019,12,matplotlib,7463747
2019,12,numpy,46427231
2019,12,pandas,16913260
2019,12,plotly,1957776
2019,12,pymc3,63084
2019,12,pyspark,2583515
2019,12,pytorch,32650
2019,12,scikit-learn,13406009
2019,12,scipy,13204714
2019,12,scrapy,360893
2019,12,seaborn,1355813
2019,12,selenium,2843786
2019,12,streamlit,20706
2019,12,tensorflow,5610760
2019,12,torch,898889
2019,12,xgboost,2314167
2020,1,altair,155662
2020,1,beautifulsoup,312540
2020,1,bokeh,998152
2020,1,dash,181789
2020,1,django,4559020
2020,1,flask,12241607
2020,1,keras,2287734
2020,1,lightgbm,1590153
2020,1,matplotlib,8389314
2020,1,numpy,50317197
2020,1,pandas,18316558
2020,1,plotly,2189814
2020,1,pymc3,66275
2020,1,pyspark,3102835
2020,1,pytorch,31212
2020,1,scikit-learn,14772081
2020,1,scipy,16424779
2020,1,scrapy,412158
2020,1,seaborn,1529544
2020,1,selenium,2502023
2020,1,streamlit,29835
2020,1,tensorflow,6332941
2020,1,torch,1068063
2020,1,xgboost,2890261
2020,2,altair,177288
2020,2,beautifulsoup,240441
2020,2,bokeh,924814
2020,2,dash,202680
