year,month,project,downloads
2020,1,pandas,18316558
2020,1,plotly,2189814
2020,1,pytorch,31212
2020,1,requests,64765907
2020,1,seaborn,1529544
2020,1,selenium,2502023
2020,1,shiny,560
2020,1,streamlit,29835
2020,1,tensorflow,6332941
2020,2,beautifulsoup,240441
2020,2,dash,202680
2020,2,django,4976414
2020,2,flask,12386143
2020,2,keras,2626121
2020,2,matplotlib,9325354
2020,2,numpy,39071806
2020,2,pandas,19065749
2020,2,plotly,2286037
2020,2,pytorch,33755
2020,2,requests,60320522
2020,2,seaborn,1541698
2020,2,selenium,2602972
2020,2,shiny,1100
2020,2,streamlit,70370
2020,2,tensorflow,6833978
2020,3,beautifulsoup,243622
2020,3,dash,248777
2020,3,django,5727589
2020,3,flask,14306929
2020,3,keras,2777268
2020,3,matplotlib,9838934
2020,3,numpy,40641035
2020,3,pandas,22643094
2020,3,plotly,2675486
2020,3,pytorch,35795
2020,3,requests,70778175
2020,3,seaborn,1753925
2020,3,selenium,3110204
2020,3,shiny,550
2020,3,streamlit,76017
2020,3,tensorflow,8895453
2020,4,beautifulsoup,195637
2020,4,dash,285523
2020,4,django,5517819
2020,4,flask,15253703
2020,4,keras,2592667
2020,4,matplotlib,11295127
2020,4,numpy,40563331
2020,4,pandas,23400289
2020,4,plotly,2890053
2020,4,pytorch,37518
2020,4,requests,73535005
2020,4,seaborn,1988964
2020,4,selenium,3390095
2020,4,shiny,485
2020,4,streamlit,71499
2020,4,tensorflow,10289879
2020,5,beautifulsoup,257857
2020,5,dash,313499
2020,5,django,5017043
2020,5,flask,14497982
2020,5,keras,2637276
2020,5,matplotlib,11469747
2020,5,numpy,39077774
2020,5,pandas,23372402
2020,5,plotly,3312972
2020,5,pytorch,38038
2020,5,requests,73475736
2020,5,seaborn,1985781
2020,5,selenium,3389322
2020,5,shiny,244
2020,5,streamlit,79856
2020,5,tensorflow,13641486
2020,6,beautifulsoup,319697
2020,6,dash,329680
2020,6,django,5636885
2020,6,flask,13530087
2020,6,keras,2709611
2020,6,matplotlib,10897157
2020,6,numpy,39351778
2020,6,pandas,25285032
2020,6,plotly,3455673
2020,6,pytorch,37040
2020,6,requests,76634528
2020,6,seaborn,2042174
2020,6,selenium,3551393
2020,6,shiny,116
2020,6,streamlit,110263
2020,6,tensorflow,11959059
2020,7,beautifulsoup,447090
2020,7,dash,348059
2020,7,django,5468709
2020,7,flask,14095278
2020,7,keras,3399554
2020,7,matplotlib,10703915
2020,7,numpy,46009236
2020,7,pandas,28129323
2020,7,plotly,3645270
2020,7,pytorch,39007
2020,7,requests,84809826
2020,7,seaborn,2092918
2020,7,selenium,3752361
2020,7,shiny,91
2020,7,streamlit,178158
2020,7,tensorflow,14034648
2020,8,beautifulsoup,419912
2020,8,dash,342758
2020,8,django,5134498
2020,8,flask,14207282
2020,8,keras,3069756
2020,8,matplotlib,11127731
2020,8,numpy,63331762
2020,8,pandas,29943867
2020,8,plotly,3682251
2020,8,pytorch,41449
2020,8,requests,82800395
2020,8,seaborn,2128108
2020,8,selenium,3942343
2020,8,shiny,117
2020,8,streamlit,234147
2020,8,tensorflow,11475816
2020,9,beautifulsoup,545595
2020,9,dash,353803
2020,9,django,5681088
2020,9,flask,14442223
2020,9,keras,2610125
2020,9,matplotlib,13731016
2020,9,numpy,61847719
2020,9,pandas,32608810
2020,9,plotly,3829663
2020,9,pytorch,38287
2020,9,requests,84334008
2020,9,seaborn,2610037
2020,9,selenium,4215627
2020,9,shiny,246
2020,9,streamlit,148690
2020,9,tensorflow,11734840
2020,10,beautifulsoup,679569
2020,10,dash,378212
2020,10,django,6439712
2020,10,flask,15811689
2020,10,keras,2661650
2020,10,matplotlib,14695388
2020,10,numpy,61294035
2020,10,pandas,40063993
2020,10,plotly,4093743
2020,10,pytorch,41067
2020,10,requests,93339960
2020,10,seaborn,2813728
2020,10,selenium,4547485
2020,10,shiny,139
2020,10,streamlit,153525
2020,10,tensorflow,13243130
2020,11,beautifulsoup,670241
2020,11,dash,375379
2020,11,django,6150691
2020,11,flask,16272459
2020,11,keras,2945933
2020,11,matplotlib,14152907
2020,11,numpy,58590804
2020,11,pandas,36084384
2020,11,plotly,4299819
2020,11,pytorch,45632
2020,11,requests,91264016
2020,11,seaborn,2814460
2020,11,selenium,4431138
2020,11,shiny,410
2020,11,streamlit,181752
2020,11,tensorflow,12700306
2020,12,beautifulsoup,680430
2020,12,dash,396391
2020,12,django,6216022
2020,12,flask,17304161
2020,12,keras,2972147
2020,12,matplotlib,13982381
2020,12,numpy,58851854
2020,12,pandas,37235132
2020,12,plotly,4358205
2020,12,pytorch,38004
2020,12,requests,95942353
2020,12,seaborn,3233612
2020,12,selenium,5316154
2020,12,shiny,798
2020,12,streamlit,181665
2020,12,tensorflow,9903285
2021,1,beautifulsoup,499079
2021,1,dash,386202
2021,1,django,6141972
2021,1,flask,18269237
2021,1,keras,2906360
2021,1,matplotlib,15427880
2021,1,numpy,61220438
2021,1,pandas,38813789
2021,1,plotly,4205321
2021,1,pytorch,35310
2021,1,requests,99537862
2021,1,seaborn,3183565
2021,1,selenium,5980962
2021,1,shiny,91
2021,1,streamlit,199258
2021,1,tensorflow,8194753
2021,2,beautifulsoup,459909
2021,2,dash,375823
2021,2,django,6520269
2021,2,flask,18210851
2021,2,keras,2911491
2021,2,matplotlib,16056558
2021,2,numpy,60018900
2021,2,pandas,39955590
2021,2,plotly,4466414
2021,2,pytorch,32202
2021,2,requests,124749694
2021,2,seaborn,3561783
2021,2,selenium,6260934
2021,2,shiny,76
2021,2,streamlit,213709
2021,2,tensorflow,8594055
2021,3,beautifulsoup,604579
2021,3,dash,450956
2021,3,django,7946031
2021,3,flask,22553775
2021,3,keras,3118447
2021,3,matplotlib,18130216
2021,3,numpy,73280530
2021,3,pandas,47419314
2021,3,plotly,5559108
2021,3,polars,5049
2021,3,pytorch,45495
2021,3,requests,121872043
2021,3,seaborn,5093280
2021,3,selenium,7527245
2021,3,shiny,132
2021,3,streamlit,279006
2021,3,tensorflow,9963298
2021,4,beautifulsoup,576465
2021,4,dash,452608
2021,4,django,7503247
2021,4,flask,22430242
2021,4,keras,3185226
2021,4,matplotlib,19567185
2021,4,numpy,70926265
2021,4,pandas,46373579
2021,4,plotly,5244421
2021,4,polars,6644
2021,4,pytorch,43211
2021,4,requests,111042600
2021,4,seaborn,4876295
2021,4,selenium,6593578
2021,4,shiny,96
2021,4,streamlit,248107
2021,4,tensorflow,9772313
2021,5,beautifulsoup,565301
2021,5,dash,496401
2021,5,django,7527528
2021,5,flask,25379557
2021,5,keras,3344734
2021,5,matplotlib,20994773
2021,5,numpy,75956148
2021,5,pandas,49452022
2021,5,plotly,5385701
2021,5,polars,7694
2021,5,pytorch,40714
2021,5,requests,112597922
2021,5,seaborn,5072389
2021,5,selenium,6358975
2021,5,shiny,160
2021,5,streamlit,307087
2021,5,tensorflow,10425398
2021,6,beautifulsoup,467197
2021,6,dash,556502
2021,6,django,7813858
2021,6,flask,32268549
2021,6,keras,3286443
2021,6,matplotlib,24654256
2021,6,numpy,79594702
2021,6,pandas,53244773
2021,6,plotly,5761428
2021,6,polars,11426
2021,6,pytorch,38529
2021,6,requests,119757592
2021,6,seaborn,8123597
2021,6,selenium,6186153
2021,6,shiny,159
2021,6,streamlit,338990
2021,6,tensorflow,9998343
2021,7,beautifulsoup,411110
2021,7,dash,613838
2021,7,django,7109153
2021,7,flask,54667522
2021,7,keras,3491124
2021,7,matplotlib,27768443
2021,7,numpy,80566322
2021,7,pandas,64570113
2021,7,plotly,5863371
2021,7,polars,21130
2021,7,pytorch,37884
2021,7,requests,129577938
2021,7,seaborn,9211201
2021,7,selenium,8000174
2021,7,shiny,131
2021,7,streamlit,401807
2021,7,tensorflow,10710702
2021,8,beautifulsoup,403184
2021,8,dash,651698
2021,8,django,7073367
2021,8,flask,52827923
2021,8,keras,5084494
2021,8,matplotlib,30959146
2021,8,numpy,86202648
2021,8,pandas,85667789
2021,8,plotly,8520302
2021,8,polars,26183
2021,8,pytorch,35087
2021,8,requests,131886628
2021,8,seaborn,10381145
2021,8,selenium,8048073
2021,8,shiny,76
2021,8,streamlit,478368
2021,8,tensorflow,11876382
2021,9,beautifulsoup,405322
2021,9,dash,678431
2021,9,django,7389453
2021,9,flask,52105836
2021,9,keras,5830728
2021,9,matplotlib,28402870
2021,9,numpy,85958252
2021,9,pandas,85187757
2021,9,plotly,13904367
2021,9,polars,28269
2021,9,pytorch,39358
2021,9,requests,133061287
2021,9,seaborn,13396818
2021,9,selenium,8672868
2021,9,shiny,98
2021,9,streamlit,618661
2021,9,tensorflow,11810319
2021,10,beautifulsoup,477908
2021,10,dash,783665
2021,10,django,7430559
2021,10,flask,60933329
2021,10,keras,6435065
2021,10,matplotlib,33554105
2021,10,numpy,94881500
2021,10,pandas,83025294
2021,10,plotly,18688855
2021,10,polars,34132
2021,10,pytorch,42664
2021,10,requests,136155926
2021,10,seaborn,17351322
2021,10,selenium,9724726
2021,10,shiny,647
2021,10,streamlit,598237
2021,10,tensorflow,12207820
2021,11,beautifulsoup,485491
2021,11,dash,870314
2021,11,django,7091254
2021,11,flask,47387032
2021,11,keras,7409668
2021,11,matplotlib,27161139
2021,11,numpy,89299781
2021,11,pandas,68842407
2021,11,plotly,8989054
2021,11,polars,38926
2021,11,pytorch,48188
2021,11,requests,130720013
2021,11,seaborn,7892324
2021,11,selenium,8684271
2021,11,shiny,98
2021,11,streamlit,674036
2021,11,tensorflow,13400547
2021,12,beautifulsoup,473972
2021,12,dash,1154238
2021,12,django,6528626
2021,12,flask,43572804
2021,12,keras,7487157
2021,12,matplotlib,25436779
2021,12,numpy,87362025
2021,12,pandas,71295265
2021,12,plotly,7707810
2021,12,polars,54363
2021,12,pytorch,45960
2021,12,requests,131281930
2021,12,seaborn,6381570
2021,12,selenium,7789051
2021,12,shiny,287
2021,12,streamlit,641779
2021,12,tensorflow,14951839
2022,1,beautifulsoup,521712
2022,1,dash,958074
2022,1,django,7145762
2022,1,flask,45276240
2022,1,keras,7360623
